con_date,c13,c9
2012-01-04 00:00:00,205141529.3486,8.3961
2012-01-05 00:00:00,204872952.8633,8.3789
2012-01-06 00:00:00,203420428.8241,8.4981
2012-01-09 00:00:00,204115137.1849,8.7036
2012-01-10 00:00:00,203778790.1229,8.9285
2012-01-11 00:00:00,203862979.7663,8.8771
2012-01-12 00:00:00,203831599.5941,8.8666
2012-01-13 00:00:00,203811789.4721,8.7804
2012-01-16 00:00:00,203844994.6095,8.6488
2012-01-17 00:00:00,203949449.3246,8.9769
2012-01-18 00:00:00,203962436.3411,8.8525
2012-01-19 00:00:00,204005171.309,8.9817
2012-01-20 00:00:00,203213684.0868,9.1046
2012-01-30 00:00:00,202858444.9194,8.9659
2012-01-31 00:00:00,203091765.7575,8.9801
2012-02-01 00:00:00,202570001.7984,8.9048
2012-02-02 00:00:00,202333648.327,9.0977
2012-02-03 00:00:00,202122916.8958,9.168
2012-02-06 00:00:00,201735420.9006,9.1623
2012-02-07 00:00:00,201855994.7055,9.005
2012-02-08 00:00:00,201858214.0001,9.22
2012-02-09 00:00:00,201358036.5497,9.2473
2012-02-10 00:00:00,201791203.3654,9.2278
2012-02-13 00:00:00,202091312.6625,9.1923
2012-02-14 00:00:00,202495917.8627,9.1431
2012-02-15 00:00:00,202550794.5866,9.2136
2012-02-16 00:00:00,202174331.4244,9.1839
2012-02-17 00:00:00,202013862.6318,9.2037
2012-02-20 00:00:00,202610643.7912,9.1956
2012-02-21 00:00:00,202431296.3056,9.27
2012-02-22 00:00:00,202471293.8246,9.3406
2012-02-23 00:00:00,202347973.9019,9.3644
2012-02-24 00:00:00,202432791.0332,9.4791
2012-02-27 00:00:00,202608319.0557,9.501
2012-02-28 00:00:00,202565314.8456,9.5318
2012-02-29 00:00:00,202552055.1266,9.4424
2012-03-01 00:00:00,202580025.6549,9.4189
2012-03-02 00:00:00,202559988.7848,9.5466
2012-03-05 00:00:00,203247333.0108,9.4337
2012-03-06 00:00:00,203518990.9134,9.2985
2012-03-07 00:00:00,203377927.9541,9.2503
2012-03-08 00:00:00,203467165.1687,9.3286
2012-03-09 00:00:00,203371707.2692,9.4006
2012-03-12 00:00:00,203633335.661,9.3462
2012-03-13 00:00:00,203256891.6866,9.4466
2012-03-14 00:00:00,203381710.7707,9.2378
2012-03-15 00:00:00,203295011.365,9.1977
2012-03-16 00:00:00,203073492.3765,9.322
2012-03-19 00:00:00,203123144.4546,9.323
2012-03-20 00:00:00,203008012.6601,9.2147
2012-03-21 00:00:00,202960235.8527,9.2214
2012-03-22 00:00:00,202787179.6246,9.2211
2012-03-23 00:00:00,201944959.1428,9.1795
2012-03-26 00:00:00,202699420.0986,9.1566
2012-03-27 00:00:00,203791954.4168,9.0943
2012-03-28 00:00:00,203550743.4735,8.9117
2012-03-29 00:00:00,203582671.546,8.8149
2012-03-30 00:00:00,202025963.8476,8.9442
2012-04-05 00:00:00,202360224.411,9.0669
2012-04-06 00:00:00,202374113.9908,9.0664
2012-04-09 00:00:00,202701746.5838,8.9739
2012-04-10 00:00:00,202884211.5559,9.0418
2012-04-11 00:00:00,202890323.596,9.0408
2012-04-12 00:00:00,202862971.2942,9.204
